21-07-2023,a,"-3,015.00"
21-07-2023,b,-60
16-07-2023,v,"-1,045.00"
15-07-2023,c,"1,000.00"
11-07-2023,c,"1,383.00"
10-07-2023,d,"-1,221.95"
09-07-2023,d,-566.64
05-07-2023,v,406
04-07-2023,SWIGGY                 Bengaluru     IN 03/07/2023 •••• •••• •••• 9656  ,"-1,611.00"
03-07-2023,CREDIT CARD PAYMENT 03/07/2023 •••• •••• •••• 9656  ,"26,344.00"
03-07-2023,CINEPOLIS REACH AIRIA  GURUGRAM      IN 02/07/2023 •••• •••• •••• 9656  ,-350
03-07-2023,ZOMATO                 NEW DELHI     IN 02/07/2023 •••• •••• •••• 9656  ,"-1,147.00"
03-07-2023,Taste of Sikkim        GURGAON       IN 02/07/2023 •••• •••• •••• 9656  ,-990
03-07-2023,MANJEET VITA DAIRY     GURGAON       IN 02/07/2023 •••• •••• •••• 9656  ,-358
03-07-2023,sagar ratna            GURGAON       IN 02/07/2023 •••• •••• •••• 9656  ,-215
01-07-2023,RAZ*Licious            Bengaluru     IN 30/06/2023 •••• •••• •••• 9656  ,"-1,010.00"
01-07-2023,Flipkart Payments      BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-406
01-07-2023,SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-577
01-07-2023,SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-828
01-07-2023,SWIGGY INSTAMART       BANGALORE     IN 30/06/2023 •••• •••• •••• 9656  ,-731
01-07-2023,LIQUOR LAND            GURGAON       IN 30/06/2023 •••• •••• •••• 9656  ,"-6,960.00"
01-07-2023,SWIGGY INSTAMART       BANGALORE     IN 29/06/2023 •••• •••• •••• 9656  ,"-1,092.00"
